StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
SA,JLN,Jacqui Lambie Network,24478,2.65,707,1.59,141,1.58,788,2.27,5402,3.54,31516,2.71
SA,HMP,Legalise Cannabis Party,26586,2.88,2073,4.67,511,5.72,1138,3.28,2984,1.95,33292,2.86
SA,LTP,Libertarian,9891,1.07,614,1.38,175,1.96,360,1.04,777,0.51,11817,1.02
SA,ON,Pauline Hanson's One Nation,48439,5.25,2518,5.68,546,6.11,2101,6.05,8527,5.59,62131,5.34
SA,SPP,Sustainable Australia Party - Universal Basic Income,2457,0.27,174,0.39,30,0.34,119,0.34,496,0.32,3276,0.28
SA,UNAM,Unendorsed/Ungrouped Amalgamated,993,0.11,56,0.13,8,0.09,54,0.16,178,0.12,1289,0.11
TAS,ALP,Australian Labor Party,107815,35.44,3538,30.49,477,30.93,3127,30.85,16010,36.16,130967,35.23
TAS,LP,Liberal,70683,23.23,2288,19.72,277,17.96,2352,23.2,11914,26.91,87514,23.54
TAS,JLN,Jacqui Lambie Network,21626,7.11,720,6.21,103,6.68,736,7.26,3870,8.74,27055,7.28
TAS,GRN,The Greens,50521,16.61,2379,20.51,255,16.54,2249,22.19,5246,11.85,60650,16.31
TAS,CYA,Trumpet of Patriots,9951,3.27,441,3.8,72,4.67,289,2.85,1286,2.9,12039,3.24
TAS,AJP,Animal Justice Party,3799,1.25,200,1.72,42,2.72,137,1.35,675,1.52,4853,1.31
TAS,CEC,Citizens Party,966,0.32,39,0.34,8,0.52,41,0.4,165,0.37,1219,0.33
TAS,HMP,Legalise Cannabis Party,10563,3.47,671,5.78,119,7.72,303,2.99,968,2.19,12624,3.4
TAS,LTP,Libertarian,1340,0.44,45,0.39,13,0.84,48,0.47,193,0.44,1639,0.44
TAS,ON,Pauline Hanson's One Nation,15845,5.21,582,5.02,82,5.32,477,4.71,2232,5.04,19218,5.17
TAS,ASP,"Shooters, Fishers and Farmers Party",6727,2.21,426,3.67,53,3.44,210,2.07,1036,2.34,8452,2.27
TAS,SPP,Sustainable Australia Party - Universal Basic Income,3576,1.18,235,2.03,39,2.53,144,1.42,482,1.09,4476,1.2
TAS,UNAM,Unendorsed/Ungrouped Amalgamated,828,0.27,38,0.33,2,0.13,23,0.23,193,0.44,1084,0.29
ACT,ALP,Australian Labor Party,80307,31.81,1556,29.14,475,30.66,4056,32.42,6741,31.23,93135,31.74
ACT,LP,Liberal,43860,17.37,860,16.1,236,15.24,2318,18.53,4861,22.52,52135,17.76
ACT,DAVI,David Pocock,100340,39.74,2030,38.01,583,37.64,4385,35.05,7577,35.1,114915,39.16
ACT,AJP,Animal Justice Party,2758,1.09,87,1.63,22,1.42,131,1.05,365,1.69,3363,1.15
ACT,HETP,HEART/LIBERTARIAN,2901,1.15,84,1.57,19,1.23,163,1.3,277,1.28,3444,1.17
ACT,SPP,Sustainable Australia Party - Universal Basic Income,2991,1.18,101,1.89,35,2.26,193,1.54,324,1.5,3644,1.24
ACT,GRN,Australian Greens,19331,7.66,622,11.65,179,11.56,1265,10.11,1441,6.68,22838,7.78
ACT,UNAM,Unendorsed/Ungrouped Amalgamated,0,0,0,0,0,0,0,0,0,0,0,0
NT,ALP,Australian Labor Party (Northern Territory) Branch,33024,35.54,635,33.58,129,31.08,2127,32.33,1436,28.73,37351,34.97
NT,CLP,NT CLP,30359,32.67,469,24.8,117,28.19,1929,29.32,2080,41.62,34954,32.73
NT,CEC,Citizens Party,949,1.02,33,1.75,5,1.2,89,1.35,57,1.14,1133,1.06
NT,HMP,Legalise Cannabis Party,4980,5.36,170,8.99,36,8.67,328,4.99,187,3.74,5701,5.34
NT,LTP,Libertarian,1244,1.34,35,1.85,5,1.2,139,2.11,70,1.4,1493,1.4
NT,ON,Pauline Hanson's One Nation,6969,7.5,200,10.58,42,10.12,646,9.82,448,8.96,8305,7.78
NT,SPP,Sustainable Australia Party - Universal Basic Income,4395,4.73,140,7.4,30,7.23,245,3.72,100,2,4910,4.6
NT,GRN,Australian Greens,9986,10.75,199,10.52,49,11.81,1006,15.29,580,11.6,11820,11.07
NT,UNAM,Unendorsed/Ungrouped Amalgamated,1018,1.1,10,0.53,2,0.48,70,1.06,40,0.8,1140,1.07
